Date,Price,Open,High,Low,Vol.,Change %
29-Apr-16,2065.30,2071.82,2073.85,2052.28,-,-0.51%
28-Apr-16,2075.81,2090.93,2099.30,2071.62,-,-0.92%
27-Apr-16,2095.15,2092.33,2099.89,2082.31,-,0.16%
26-Apr-16,2091.70,2089.84,2096.87,2085.80,-,0.19%
25-Apr-16,2087.79,2089.37,2089.37,2077.52,-,-0.18%
22-Apr-16,2091.58,2091.49,2094.32,2081.20,-,0.00%
21-Apr-16,2091.48,2102.09,2103.78,2088.52,-,-0.52%
20-Apr-16,2102.40,2101.52,2111.05,2096.32,-,0.08%
19-Apr-16,2100.80,2096.05,2104.05,2091.68,-,0.31%
18-Apr-16,2094.34,2078.83,2094.66,2073.65,-,0.65%
15-Apr-16,2080.73,2083.10,2083.22,2076.31,-,-0.10%
14-Apr-16,2082.78,2082.89,2087.84,2078.13,-,0.02%
13-Apr-16,2082.42,2065.92,2083.18,2065.92,-,1.00%
12-Apr-16,2061.72,2043.72,2065.05,2039.74,-,0.97%
11-Apr-16,2041.99,2050.23,2062.93,2041.88,-,-0.27%
8-Apr-16,2047.60,2045.54,2060.63,2041.69,-,0.28%
7-Apr-16,2041.91,2063.01,2063.01,2033.80,-,-1.20%
6-Apr-16,2066.66,2045.56,2067.33,2043.09,-,1.05%
5-Apr-16,2045.17,2062.50,2062.50,2042.56,-,-1.01%
4-Apr-16,2066.13,2073.19,2074.02,2062.57,-,-0.32%
1-Apr-16,2072.78,2056.62,2075.07,2043.98,-,0.63%
31-Mar-16,2059.74,2063.77,2067.92,2057.46,-,-0.20%
30-Mar-16,2063.95,2058.27,2072.21,2058.27,-,0.44%
29-Mar-16,2055.01,2035.75,2055.91,2028.31,-,0.88%
28-Mar-16,2037.05,2037.89,2042.67,2031.96,-,0.05%
24-Mar-16,2035.94,2032.48,2036.04,2022.49,-,-0.04%
23-Mar-16,2036.71,2048.55,2048.55,2034.86,-,-0.64%
22-Mar-16,2049.80,2048.64,2056.60,2040.57,-,-0.09%
21-Mar-16,2051.60,2047.88,2053.91,2043.14,-,0.10%
18-Mar-16,2049.58,2041.16,2052.36,2041.16,-,0.44%
17-Mar-16,2040.59,2026.90,2046.24,2022.16,-,0.66%
16-Mar-16,2027.22,2014.24,2032.02,2010.04,-,0.56%
15-Mar-16,2015.93,2015.27,2015.94,2005.23,-,-0.18%
14-Mar-16,2019.64,2019.27,2024.57,2012.05,-,-0.13%
11-Mar-16,2022.19,1994.71,2022.37,1994.71,-,1.64%
10-Mar-16,1989.57,1990.97,2005.08,1969.25,-,0.02%
9-Mar-16,1989.26,1981.44,1992.69,1979.84,-,0.51%
8-Mar-16,1979.26,1996.88,1996.88,1977.43,-,-1.12%
7-Mar-16,2001.76,1996.11,2006.12,1989.38,-,0.09%
4-Mar-16,1999.99,1994.01,2009.13,1986.77,-,0.33%
3-Mar-16,1993.40,1985.60,1993.69,1977.37,-,0.35%
2-Mar-16,1986.45,1976.60,1986.51,1968.80,-,0.41%
1-Mar-16,1978.35,1937.09,1978.35,1937.09,-,2.39%
29-Feb-16,1932.23,1947.13,1958.27,1931.81,-,-0.81%
26-Feb-16,1948.05,1954.95,1962.96,1945.78,-,-0.19%
25-Feb-16,1951.70,1931.87,1951.83,1925.41,-,1.13%
24-Feb-16,1929.80,1917.56,1932.08,1891.00,-,0.44%
23-Feb-16,1921.27,1942.38,1942.38,1919.44,-,-1.25%
22-Feb-16,1945.50,1924.44,1946.70,1924.44,-,1.45%
19-Feb-16,1917.78,1916.74,1918.78,1902.17,-,0.00%
18-Feb-16,1917.83,1927.57,1930.00,1915.09,-,-0.47%
17-Feb-16,1926.82,1898.80,1930.68,1898.80,-,1.65%
16-Feb-16,1895.58,1871.44,1895.77,1871.44,-,1.65%
12-Feb-16,1864.78,1833.40,1864.78,1833.40,-,1.95%
11-Feb-16,1829.08,1847.00,1847.00,1810.10,-,-1.23%
10-Feb-16,1851.86,1857.10,1881.60,1850.32,-,-0.02%
9-Feb-16,1852.21,1848.46,1868.25,1834.94,-,-0.07%
