Date,Open,Close,Volume,Daily_Price_Change,Price_lag1,Vol_lag1,Price_lag2,Vol_lag2,Price_lag3,Vol_lag3,Price_lag4,Vol_lag4,Price_lag5,Vol_lag5
9/6/13,1657.439941,1655.170044,3123880000,-0.00136952,0.001088701,4.89E+12,0.007533269,5.45E+12,0.002335077,6.11E+12,-0.003612228,4.47E+12,0.002858919,4.13E+12
9/9/13,1656.849976,1671.709961,3102780000,0.008968817,-0.00136952,5.17E+12,0.001088701,4.89E+12,0.007533269,5.45E+12,0.002335077,6.11E+12,-0.003612228,4.47E+12
9/10/13,1675.109985,1683.98999,3691800000,0.005301147,0.008968817,5.16E+12,-0.00136952,5.17E+12,0.001088701,4.89E+12,0.007533269,5.45E+12,0.002335077,6.11E+12
9/11/13,1681.040039,1689.130005,3135460000,0.004812477,0.005301147,6.20E+12,0.008968817,5.16E+12,-0.00136952,5.17E+12,0.001088701,4.89E+12,0.007533269,5.45E+12
9/12/13,1689.209961,1683.420044,3106290000,-0.003427589,0.004812477,5.28E+12,0.005301147,6.20E+12,0.008968817,5.16E+12,-0.00136952,5.17E+12,0.001088701,4.89E+12
9/13/13,1685.040039,1687.98999,2736500000,0.001750671,-0.003427589,5.24E+12,0.004812477,5.28E+12,0.005301147,6.20E+12,0.008968817,5.16E+12,-0.00136952,5.17E+12
9/16/13,1691.699951,1697.599976,3079800000,0.003487631,0.001750671,4.62E+12,-0.003427589,5.24E+12,0.004812477,5.28E+12,0.005301147,6.20E+12,0.008968817,5.16E+12
9/17/13,1697.72998,1704.76001,2774240000,0.004140841,0.003487631,5.22E+12,0.001750671,4.62E+12,-0.003427589,5.24E+12,0.004812477,5.28E+12,0.005301147,6.20E+12
9/18/13,1705.73999,1725.52002,3989760000,0.011596158,0.004140841,4.72E+12,0.003487631,5.22E+12,0.001750671,4.62E+12,-0.003427589,5.24E+12,0.004812477,5.28E+12
9/19/13,1727.339966,1722.339966,3740130000,-0.002894624,0.011596158,6.84E+12,0.004140841,4.72E+12,0.003487631,5.22E+12,0.001750671,4.62E+12,-0.003427589,5.24E+12
9/20/13,1722.439941,1709.910034,5074030000,-0.00727451,-0.002894624,6.45E+12,0.011596158,6.84E+12,0.004140841,4.72E+12,0.003487631,5.22E+12,0.001750671,4.62E+12
9/23/13,1711.439941,1701.839966,3126950000,-0.005609297,-0.00727451,8.71E+12,-0.002894624,6.45E+12,0.011596158,6.84E+12,0.004140841,4.72E+12,0.003487631,5.22E+12
9/24/13,1702.599976,1697.420044,3268930000,-0.003042366,-0.005609297,5.34E+12,-0.00727451,8.71E+12,-0.002894624,6.45E+12,0.011596158,6.84E+12,0.004140841,4.72E+12
9/25/13,1698.02002,1692.77002,3148730000,-0.003091836,-0.003042366,5.56E+12,-0.005609297,5.34E+12,-0.00727451,8.71E+12,-0.002894624,6.45E+12,0.011596158,6.84E+12
9/26/13,1694.050049,1698.670044,2813930000,0.002727189,-0.003091836,5.34E+12,-0.003042366,5.56E+12,-0.005609297,5.34E+12,-0.00727451,8.71E+12,-0.002894624,6.45E+12
9/27/13,1695.52002,1691.75,2951700000,-0.002223518,0.002727189,4.77E+12,-0.003091836,5.34E+12,-0.003042366,5.56E+12,-0.005609297,5.34E+12,-0.00727451,8.71E+12
